Time,Channel A,Channel B
(ms),(V),(V)

-490.19968510,-0.31739250,-1.03152600
-490.18944510,-0.31739250,-1.03152600
-490.17920510,-0.31739250,-1.03152600
-490.16896510,-0.39674060,-1.03152600
-490.15872510,-0.39674060,-1.03152600
-490.14848510,-0.47608880,-1.03152600
-490.13824510,-0.47608880,-1.03152600
-490.12800510,-0.47608880,-1.03152600
-490.11776510,-0.47608880,-1.03152600
-490.10752510,-0.55543680,-1.03152600
-490.09728510,-0.55543680,-1.11087400
-490.08704510,-0.55543680,-1.03152600
-490.07680510,-0.55543680,-1.03152600
-490.06656510,-0.63478500,-1.03152600
-490.05632510,-0.63478500,-1.03152600
-490.04608510,-0.63478500,-1.03152600
-490.03584510,-0.71413310,-1.03152600
-490.02560510,-0.71413310,-1.11087400
-490.01536510,-0.71413310,-1.03152600
-490.00512510,-0.79348120,-1.03152600
-489.99488510,-0.79348120,-1.03152600
-489.98464510,-0.79348120,-1.03152600
-489.97440510,-0.79348120,-1.11087400
-489.96416510,-0.87282940,-1.11087400
-489.95392510,-0.87282940,-1.11087400
-489.94368510,-0.87282940,-1.03152600
-489.93344510,-0.95217750,-1.11087400
-489.92320510,-0.95217750,-1.11087400
-489.91296510,-0.95217750,-1.03152600
-489.90272510,-1.03152600,-1.11087400
-489.89248510,-1.03152600,-1.11087400
-489.88224510,-1.03152600,-1.11087400
-489.87200510,-1.03152600,-1.11087400
-489.86176510,-1.03152600,-1.11087400
-489.85152510,-1.11087400,-1.11087400
-489.84128510,-1.11087400,-1.11087400
-489.83104510,-1.11087400,-1.03152600
-489.82080510,-1.19022200,-1.11087400
-489.81056510,-1.19022200,-1.11087400
-489.80032510,-1.19022200,-1.03152600
-489.79008510,-1.19022200,-1.11087400
-489.77984510,-1.26957000,-1.11087400
-489.76960510,-1.26957000,-1.03152600
-489.75936510,-1.26957000,-1.11087400
-489.74912510,-1.26957000,-1.11087400
-489.73888510,-1.34891800,-1.11087400
-489.72864510,-1.34891800,-1.03152600
-489.71840510,-1.34891800,-1.11087400
-489.70816510,-1.42857100,-1.11087400
-489.69792510,-1.42857100,-1.11087400
-489.68768510,-1.42857100,-1.03152600
-489.67744510,-1.42857100,-1.03152600
-489.66720510,-1.50792000,-1.03152600
-489.65696510,-1.50792000,-1.03152600
-489.64672510,-1.50792000,-1.03152600
-489.63648510,-1.58726800,-1.03152600
-489.62624510,-1.58726800,-1.11087400
-489.61600510,-1.58726800,-1.03152600
-489.60576510,-1.58726800,-1.03152600
-489.59552510,-1.58726800,-1.03152600
-489.58528510,-1.58726800,-1.03152600
-489.57504510,-1.66661600,-1.03152600
-489.56480510,-1.66661600,-1.03152600
-489.55456510,-1.66661600,-1.03152600
-489.54432510,-1.74596400,-1.03152600
-489.53408510,-1.74596400,-1.03152600
-489.52384510,-1.74596400,-1.03152600
-489.51360510,-1.82531200,-1.03152600
-489.50336510,-1.74596400,-1.03152600
-489.49312510,-1.82531200,-1.03152600
-489.48288510,-1.82531200,-1.03152600
-489.47264510,-1.82531200,-1.03152600
-489.46240510,-1.90466000,-1.03152600
-489.45216510,-1.90466000,-1.03152600
-489.44192510,-1.90466000,-1.03152600
-489.43168510,-1.90466000,-1.03152600
-489.42144510,-1.90466000,-1.03152600
-489.41120510,-1.98400800,-0.95217750
-489.40096510,-1.90466000,-0.95217750
-489.39072510,-1.98400800,-0.95217750
-489.38048510,-1.98400800,-0.95217750
-489.37024510,-1.98400800,-0.95217750
-489.36000510,-2.06335600,-0.95217750
-489.34976510,-2.06335600,-0.95217750
-489.33952510,-2.06335600,-0.95217750
-489.32928510,-2.06335600,-0.95217750
-489.31904510,-2.06335600,-0.95217750
-489.30880510,-2.14270400,-0.95217750
-489.29856510,-2.14270400,-0.95217750
-489.28832510,-2.14270400,-0.95217750
-489.27808510,-2.14270400,-0.95217750
-489.26784510,-2.14270400,-0.87282940
-489.25760510,-2.14270400,-0.95217750
-489.24736510,-2.14270400,-0.87282940
-489.23712510,-2.22205300,-0.87282940
-489.22688510,-2.22205300,-0.87282940
-489.21664510,-2.22205300,-0.87282940
-489.20640510,-2.22205300,-0.87282940
-489.19616510,-2.30140100,-0.87282940
-489.18592510,-2.22205300,-0.87282940
-489.17568510,-2.30140100,-0.87282940
-489.16544510,-2.30140100,-0.87282940
-489.15520510,-2.30140100,-0.87282940
-489.14496510,-2.30140100,-0.87282940
-489.13472510,-2.38074900,-0.87282940
-489.12448510,-2.30140100,-0.87282940
-489.11424510,-2.38074900,-0.87282940
-489.10400510,-2.38074900,-0.87282940
